Acronym,Term,Definition
,Production Engineering,"The application of design and analysis techniques to produce a specified product. Included are the functions of planning, specifying, and coordinating the application of required resources; performing analyses of producibility and production operations, processes, and systems; applying new manufacturing methods, tooling, and equipment; controlling the introduction of engineering changes; and employing cost control techniques."
,Production Management,"The effective use of resources to produce, on schedule, the required number of end units that meet specified quality, performance, and cost. It includes, but is not limited to, industrial resource analysis, producibility assessment, producibility engineering, and planning, production engineering, industrial preparedness planning, post-production planning, and productivity enhancement."
,Production Management Techniques,The technique utilized by the contractor to determine the progress of the production program.
,Production Plan,The document that describes the employment of the manufacturing resources to produce the required products or systems on time and within cost constraints. Synonymous with Manufacturing Plan.
,Production Plan Review,A review conducted to approve or disapprove a contractor-prepared and submitted production plan.
,Production Planning,The broad range of activities initiated early in the acquisition process and continued through a production decision to ensure an orderly transition from development to cost-effective rate production or construction. Synonymous with manufacturing planning.
,Production Prove Out,"A technical test conducted prior to production testing with prototype hardware to determine the most appropriate design alternative. This testing may also provide data on safety, the achievability of critical system technical characteristics, refinement, and ruggedization of hardware configurations, and determination of technical risks."
 PQT,Production Qualification Test,"A technical test completed prior to the Full-Rate Production (FRP) decision to ensure the effectiveness of the manufacturing process, equipment, and procedures. This testing also provides data for the independent evaluation required for materiel release so the evaluator can address the materiel's adequacy with respect to the stated requirements. These tests are conducted on a number of random samples from the first production lot, and are repeated if the process or design is changed significantly and when a second or alternative source is brought online."
,Production Readiness,"The state, condition, or preparedness of a system to proceed into production. A system is ready for production when the producibility of the production design and the managerial and physical preparations necessary for initiating and sustaining a viable production effort have progressed to the point where a production commitment can be made without incurring unacceptable risks that will breach thresholds of schedule, performance, cost, or other established criteria."
 PRR,Production Readiness Review,"A formal examination of a program to determine if the design is ready for production and if the prime contractor and major subcontractors have accomplished adequate production planning without incurring unacceptable risks that will breach thresholds of schedule, performance, cost, or other established criteria. PRRs are normally performed as a series of reviews toward the end of Engineering and Manufacturing Development (EMD) phase. A final PRR should occur at the completion of the EMD phase and assess the manufacturing and quality risk as the program proceeds into Low Rate Initial Production (LRIP). Under some circumstances, a PRR may also be appropriate during the LRIP effort to assess manufacturing risk for full-rate production."
,Production Representative System,"A system whose hardware and software defined by system-level critical design review, functional configuration audit, and system verification review, including correction of major deficiencies identified during prior testing. For hardware acquisitions, production-representative articles should be assembled using parts, tools, and manufacturing processes intended for use in full-rate production; utilize intended production versions of software; and all operational logistics systems for use on fielded system should be in place. Manufacturing processes to be used in full-rate production should be adhered to as closely as possible. For software acquisitions, a production-representative system consists of users performing operational tasks with hardware and software intended for deployment, in an operationally realistic computing environment, with representative DoD information network operations and supporting cybersecurity capabilities. All life-cycle system support should be in place."
,Production Schedules,Chronological controls used by management to regulate the operational sequences of production efficiently and economically.
,Productivity,The actual rate of output or production per unit of time worked.
,Productivity Enhancement,"The use of contract incentives and other techniques to provide the environment, motivation, and management commitment to increase production efficiencies."
,Products,"All items, materiel, materials, data, software, supplies, systems, assemblies, subassemblies, or portions thereof produced, purchased, developed, or otherwise used by DoD."
,Profit,The excess amount realized from the sales of goods over the cost thereof in a given transaction or over a given period.
,Profit (Excess),Profit over and above an established dollar or percentage limit.
,Program Acquisition Cost,"The estimated cost of development research, development, test, and evaluation (RDT&E); procurement; and system-specific military construction necessary to acquire the defense system. RDT&E costs are accumulated from the point in time when the DoD acquisition program is designated by title as a program element (PE) or major project within a PE. Military construction costs include only those projects that directly support and uniquely identify with the system."
,Program Acquisition Quantity,"The total number of fully configured end items (to include research and development (R&D) units) a DoD component intends to buy through the life of the program, as approved by the Under Secretary of Defense for Acquisition, Technology and Logistics (USD(AT&L)). This quantity may extend beyond the Future Years Defense Program (FYDP) years but shall be consistent with the current approved program."
 PAUC,Program Acquisition Unit Cost,Computed by dividing the Program Acquisition Cost by the Program Acquisition Quantity. The PAUC and Average Procurement Unit Cost (APUC) are the subject of the Unit Cost Reports (UCRs). Programs for which the current estimate of either the PAUC or APUC has increased by 15 percent or more over the currently approved Acquisition Program Baseline (APB) or 30 percent or more over the originally approved APB must report a unit cost breach to the congressional defense committees.
,Program Change Decision,"A decision by the Secretary of Defense (SECDEF), issued in a prescribed format, that authorizes changes in the structure of the Future Years Defense Program (FYDP)."
 PCR,Program Change Request,"Prepared in a prescribed format, it is a proposal for out-of-cycle changes to data recorded in the approved Future Years Defense Program (FYDP)."
,Program Cost,"The total of all expenditures, in any appropriation and fund, directly related to Automated Information System (AIS) definition, design, development, and deployment incurred from the beginning of the Materiel Solution Analysis (MSA) phase through deployment at each separate site. For incremental and evolutionary program strategies, program cost includes all increments. Program cost does not include Operations and Support (O&S) costs incurred at an individual site after operational cutover of any increment at that site, even though other sites may exist that have not yet completed deployment."
,Program Cost Reporting,"Reporting requirements prescribed in DoD Instructions (DoDIs) that provide for comparable program costs and related data on research and development (R&D) activities and hardware items for use in program cost validation, progress, and status analysis."
,Program Critical Path,A sequence of discrete work packages and planning packages (or lower level tasks/activities) in the network that has the longest total duration through the contract or project that is calculated by the schedule software application. Discrete work packages and planning packages (or lower-level tasks/activities) along the critical path (CP) have the least amount of float/slack (scheduling flexibility) and cannot be delayed without delaying the finish time of the entire work effort.
 PDM,Program Decision Meeting,Navy or Marine Corps review forum to advise the Navy Acquisition Executive (NAE) on decisions for acquisition programs at various levels.
 PDR,Program Deviation Report,A report describing Acquisition Program Baseline (APB) deviations (also called “breaches”) to the Defense Acquisition Executive (DAE) and the applicable Component Acquisition Executive (CAE).
 PE,Program Element,"The basic building block of the 11 major programs of the Future Years Defense Program (FYDP). It is “an integrated combination of men, equipment, and facilities, which together constitute an identifiable military capability or support activity.” It also identifies the mission to be undertaken and the organizational entities to perform the mission. Elements may consist of forces, manpower, materials, services, and/or associated costs as applicable. A PE consists of seven digits ending with a letter indicating the appropriate Service."
,Program Element Manager,Person within headquarters USAF who is directly responsible for a given program and all documentation needed to harmonize the program in the budget.
 PEM,Program Element Monitor,"Person within Headquarters (HQ), U.S. Air Force, office of primary responsibility who is directly responsible for a given program and all documentation needed to harmonize the program in the budget."
 PERT,Program Evaluation and Review Technique,A technique for management of a program through to completion by constructing a network model of integrated activities and events and periodically evaluating the time/cost implications of progress.
 PEO,Program Executive Officer,"A military or civilian official assigned program responsibilities for Acquisition Category (ACAT) I and sensitive classified programs, or for any other program determined by the Component Acquisition Executive (CAE) to require dedicated executive management."
,Program Initiation,"The point at which a program formally enters the acquisition process. Under DoDI 5000.02, program initiation normally occurs at Milestone B, but also may occur at other milestones/decision points depending upon technology maturity and risk. At program initiation, a program must be fully funded across the Future Years Defense Program (FYDP) as a result of the Program Objectives Memorandum (POM)/budget process; that is, have an approved resource stream across a typical defense program cycle, for example Fiscal Years (FYs) 2018-2022. The Materiel Solution Analysis (MSA) phase after the Materiel Development Decision (MDD), and the Technology Maturation and Risk Reduction (TMRR) phase after Milestone A, are funded typically only for phase accomplishment and thus the MDD and Milestone A do not constitute program initiation of a new acquisition program in the sense of DoDI 5000.02. This term often is confused with the financial management term “new start.”"
,Program Instability,"The condition imposed on a program as a result of problems and/or changes in requirements, technology, and funding."
,Program Management,"The process whereby a single leader exercises centralized authority and responsibility for planning, organizing, staffing, controlling, and leading the combined efforts of participating/ assigned civilian and military personnel and organizations, for the management of a specific defense acquisition program or programs, throughout the system life cycle."
 PMA,Program Management Agreement,"PMAs establish achievable and measurable annual plans that are fully resourced and reflect the approved program. PMAs must be prepared for Acquisition Category (ACAT) I and II programs after DoD makes the investment decision to pursue a new program and the program manager (PM) has been assigned. The PM, the component acquisition executive (CAE), and the requirements and, where applicable, resource authorities sign the agreement. PMAs are updated annually or more frequently if the conditions that formed the basis for the agreement (e.g., requirements, funding, or execution plans) have changed."
 PMD,Program Management Directive,"The official Headquarters (HQ), U.S. Air Force, document used to convey the guidance and direction of the decision authority and identify the various organizations, along with their essential responsibility, for ensuring the success of a program or other effort. PMDs are required for funded program contained in the Air Force Acquisition Program Master List."
 PMP,Program Management Plan,The document developed and issued by an Air Force Program Manager (PM) that shows the integrated time-phased actions and resources required to complete the task.
 PM,Program Manager,"Designated individual with responsibility for and authority to accomplish program objectives for development, production, and sustainment to meet the user's operational needs. The PM shall be accountable for credible cost, schedule, and performance reporting to the Milestone Decision Authority (MDA)."
 POM,Program Objective Memorandum,"The final product of the programming process within DoD, a Component's POM displays the resource allocation decisions of the military department in response to, and in accordance with the Defense Planning Guidance (DPG). The POM shows programmed needs 5 years hence (e.g., in FY 2016, POM 2018–2022 will be submitted)."
 POR,Program of Record,"1.) Program as recorded in the current Future Years Defense Program (FYDP) or as updated from the last FYDP by approved program documentation (e.g., Acquisition Program Baseline (APB), acquisition strategy, or Selected Acquisition Report (SAR)). If program documentation conflicts with latest FYDP, the FYDP takes priority. 2.) May also refer to a program having successfully achieved formal program initiation, normally Milestone B. Note: The term ""Program of Record"" is no longer used throughout the acquisition community and has been eliminated from most of the DoD publications that guide the DoD acquisition process. The language in paragraph 2 applies only to programs managed in accordance with procedures detailed in the Major Capability Acquisition Pathway Instruction (DoDI 5000.85)."
 POE,Program Office Estimate,A Component Cost Estimate (CCE) of Life Cycle Costs (LCCs) conducted by an acquisition Program Office (PO).
,Program Protection,"The integrating process for managing risks to DoD warfighting capability from foreign intelligence collection; from hardware, software, and cyber vulnerability or supply chain exploitation; and from battlefield loss throughout the system life cycle."
 PPP,Program Protection Plan,A living plan to guide efforts to manage the risks to Critical Program Information (CPI) and mission critical functions and components as well as program and system information. This milestone acquisition document captures both systems security engineering (SSE) and security activities and the results of the analyses as the program and system become more defined.
,Program Risk Process Document,"Document that contains the Program Risk Management Process. It should be created at the time of the program's initial risk process formulation and updated at intervals during the acquisition life cycle (e.g., program rebaseling, program phase changes, developmental and operational testing, and sustainment)."
,Program Security Instruction (PSI),"A subordinate document to an International Cooperative Program (ICP) Memorandum of Understanding (MOU) used to harmonize the program protection requirements of participating governments and contractors and establish standard procedures for the program. The document addresses handling and protection of classified and controlled unclassified information furnished by the participants, generated in the international program, and transferred among participants."
,Program Stability,"A stable program is experiencing few, if any, perturbations in cost, schedule, performance, support, and other associated business or technical problems."
 PSRs,Program Support Reviews,"A means to inform a Milestone Decision Authority (MDA) and Program Office (PO) of the status of technical planning and management processes by identifying cost, schedule, and performance risk and recommendations to mitigate those risks. PSRs are be conducted by cross-functional and cross-organizational teams appropriate to the program and situation."
 PWBS,Program Work Breakdown Structure,"The WBS that encompasses an entire program, including the Contract WBS and “other Government” elements (for example, program office operations, manpower, Government Furnished Equipment (GFE), and government testing). It defines at a high level what is to be procured and consists of at least three program levels with associated definitions. The PWBS is used by the government Program Manager (PM) and contractor to develop and extend a Contract Work Breakdown Structure (CWBS). Examples of WBSs for various items of defense materiel that may be used as a guide for acquisition programs are contained in Military Standard (MIL-STD) 881C."
,Program Year,"The fiscal year (FY) in which authorization was provided and in which funds were appropriated for a particular program, regardless of the FY in which funds for that program might be obligated."
,Programmatic,"Pertains to the cost, schedule, and performance characteristics of an acquisition program."
 PESHE,Programmatic Environment Safety and Occupational Health Evaluation,"The PESHE is a management tool used to assist PMs and their staff in identifying and managing ESOH hazards and risks, and in determining how best to meet ESOH regulatory requirements and DoD standards. It is a living document that is continually updated and maintained throughout the progression of a program or project, from concept to disposal."
,Programming,"The projection of activities to be accomplished and the resources that will be required for specified periods in the future, normally 5 years. The process of estimating and requesting resources for a program, especially in terms of quantitative requirements for funding manpower, materiel, and facilities for Program Office (PO) operations and for design, development, and production of a defense system."
,Programs,"1.) A DoD acquisition program. 2.) As a verb, program means to schedule funds to meet requirements and plans. 3.) A major, independent part of a software system. 4.) A combination of Program Elements (PEs) designed to express the accomplishment of a definite objective or plan."
,Progress Payments,Payments made to a prime contractor during the life of a fixed-price type contract on the basis of a percentage of incurred total costs or total direct labor and material costs.
,Project Definition,"The process of thoroughly exploring all aspects of a proposed project, particularly the relationship between required performance, development time, and cost. The areas of technical uncertainty are examined and possible tradeoffs are evolved in order to achieve a satisfactory balance between performance, development time, and cost."
 PV,Project Viewpoint,"Models within the Project Viewpoint describe how programs, projects, portfolios, or initiatives deliver capabilities, the organizations contributing to them, and dependencies between them."
,Projects,"1.) Synonymous with program in general usage. 2.) Specifically, a planned undertaking having a finite beginning and ending, involving definition, development, production, and Logistics Support (LS) of a major weapon or weapon support system or systems. A project may be the whole or a part of a program."
,Proprietary Right,"A broad contractor term used to describe data belonging to the contractor. These data could be intellectual property, financial data, etc. This is generally a term used in the submission of a proposal to protect the contractor's sensitive information from disclosure and is not a category of rights applicable to technical data (TD) under all contracts."
,Protests,"A concern over the award of a contract, submitted to Government Accountability Office (GAO) or Procuring Contracting Office (PCO)."
,Prototype,"A preliminary type, form, or instance of a system or system element that serves as a model for what comes later. Risk reduction prototypes are used to materially reduce engineering and manufacturing development risk at an acceptable cost. They can be at the system level or can focus on sub-systems or components. Prototypes can be used to reduce technical risk, validate designs, validate cost estimates, evaluate manufacturing processes, and/or refine requirements. Competitive prototypes are produced by two or more teams who are competing for a contract award."
,Provisioning,"The process of determining and acquiring the range and quantity (depth) of spares and repair parts, and support and test equipment required to operate and maintain an end item of material for an initial period of service. Usually refers to first outfitting of a ship, unit, or system."
 PK,Public Key,A cryptographic key that may be widely published and is used to enable the operation of an asymmetric (public key) cryptographic algorithm.
 PL,Public Laws,"A bill or joint resolution passed by both the House of Representatives and the Senate in identical form that has been enacted into law. Public laws affect the entire nation. A Public law is designated by the abbreviation “Pub. L.” followed by the Congress number (e.g. 108), and the number of the law. For example: Pub. L. 108-211."
 PPP,Public Private Partnerships,"In general, a cooperative arrangement between an organic product support provider and one or more private sector entities to perform defense-related work, utilize DoD facilities and equipment, or both. Other government organizations, such as program offices, inventory control points, and sustainment commands, may be parties to such agreements. Under Title 10 USC § 2474, a PPP for depot-level maintenance is a cooperative arrangement between an organic depot-level maintenance activity and one or more private sector entities to perform DoD or Defense-related work and/or to utilize DoD depot facilities and equipment. Also referred to as Public-Private Partnering (PPP)."
 PO,Purchase Order,"Offer by the Government to buy supplies or services, including construction and research and development, upon specified terms and conditions, using simplified acquisition procedures."
PWS,Quadrennial Defense Review Report,"Contains the findings and recommendations of the Quadrennial Defense Review. The QDR is due to Congress concurrent with the President's Budget (PB) submission during the second year of a new presidential administration. The Report is signed by the Secretary of Defense (SECDEF) and includes an assessment by the Chairman, Joint Chiefs of Staff (CJCS)."
,Qualification,The formal process by which a manufacturer's product is examined for compliance with the requirements of a source control drawing for approving the manufacturer as a source of supply.
 QT,Qualification Test,"Simulates defined operational environmental conditions with a predetermined safety factor, the results indicating whether a given design can perform its function within the simulated operational environment of a system."
 QBL,Qualified Bidders List,A list of bidders who have had their products examined and tested and who have satisfied all applicable qualification requirements for that product or have otherwise satisfied all applicable qualification requirements.
 QML,Qualified Manufacturers List,A list of manufacturers that have had their products examined and tested and that have satisfied all applicable qualification requirements for that product.
 QPL,Qualified Products List,A list of products that are pretested in advance of actual procurement to determine which suppliers can comply properly with specification requirements. This is usually done because of the length of time required for Test and Evaluation (T&E).
 QQPRI,Qualitative and Quantitative Personnel Requirements Information,"Organizational, doctrinal, training, duty position, and personnel information used to develop the Basis of Issue Plan (BOIP)."
,Quality,The composite of materiel attributes including performance features and characteristics of a production or service to satisfy a customer's given need.
 QA,Quality Assurance,"A planned and systematic pattern of all actions necessary to provide confidence that adequate technical requirements are established, that products and services conform to established technical requirements, and that satisfactory performance is achieved."
 QASP,Quality Assurance Surveillance Plan,"The document government personnel use to assess contractor performance. The QASP identifies what is going to be inspected, the inspection process, and who will do the inspecting."
,Quality Audits,A systematic examination of the acts and decisions with respects to quality in order to independently verify or evaluate the operational requirements of the quality program or the specification or contract requirements for a product or service.
 QC,Quality Control,The system or procedure used to check product quality throughout the acquisition process.
 QFD,Quality Function Deployment,"A graphical technique that shows the relationships between system requirements and proposed design solutions. This technique identifies tradeoffs, shows where design solutions may conflict, and/or where proposed solutions will not meet requirements."
,Quality of Conformance,"The effectiveness of the design and manufacturing functions in executing the product manufacturing requirements and process specifications while meeting tolerances, process control limits, and target yields for a given product group."
,Quality of Design,The effectiveness of the design process in capturing the operational requirements and translating them into detailed design requirements that can be manufactured (or coded) in a consistent manner.
,Quality Program,"A program that is developed, planned, and managed to carry out, cost-effectively, all efforts to affect the quality of material and services from concept through technology and system development, production, deployment, and disposal."
 RFID,Radio Frequency Identification,"Generic term for technologies that use radio waves to automatically identify people or objects. The most common is to store a serial number that identifies a person or object, and perhaps other information, on a microchip that is attached to an antenna (the chip and the antenna together are called an RFID transponder or an RFID tag). The antenna enables the chip to transmit the identification information to a reader. The reader converts the radio waves reflected from the RFID tag into digital information that can then be passed on to other computer systems."
,Ramp Up,"Usually used in the context of Low-Rate Initial Production (LRIP). It refers to starting production at less than an optimal rate, and then increasing the production rate over time as the production process is proven, the system's effectiveness and suitability is verified, and additional procurement dollars are obtained."
,Rapid Acquisition,"A streamlined and tightly integrated iterative approach that acts upon validated urgent or emergent capability requirements to: conduct analysis and evaluate alternatives and identify preferred solutions; develop and approve acquisition documents; contract using all available statutory and regulatory authorities and waivers and deviations of such, appropriate to the situation; identify and minimize technical development, integration, and manufacturing risks; and rapidly produce and deliver required capabilities."
,Rapid Acquisition Authority Recommendation (Urgent Operational Need),"A recommendation made by a DoD Component to the Director, Joint Rapid Acquisition Cell that the Secretary of Defense invoke special authority, subject to a Secretarial determination, to rapidly fulfill a Combatant Commander Urgent Operational Need."
,Rate Cost,A mathematical expression that measures the impact of a change in production rates on a program's total cost.
,Rating Authorization,"An official action granting specific priority rating authority that permits a person to place a priority rating on an order for an item not normally ratable under the DPAS regulation, or authorizes a person to modify a priority rating on a specific order or series of contracts or orders."
,Rating Factor,"That percentage of skill, effort, and method displayed by an operator during the period of the study with 100 percent representing normal skill and effort."
,Raw Materials,Includes raw and processed material in a form or state that requires further processing.
,Readiness,"State of preparedness of forces or weapon system or systems to meet a mission or to engage in military operations. Based on adequate and trained personnel, material condition, supplies/reserves of support system and ammunition, numbers of units available, etc."
,Readiness Drivers,Those system characteristics that have the largest effect on operational readiness.
,Real Time System,Pertaining to a system or mode of operation in which computation must be performed during the actual time that an external process occurs in order to allow computational results to respond to external processes.
,Realistic Test Environment,"The conditions under which the system is expected to be operated and maintained, including the natural weather and climatic conditions, terrain effects, battlefield disturbances, and enemy threat conditions."
,Realization Factor,"The ratio of actual performance time to standard performance time, usually expressed as a decimal number."
,Reapportionment,"A revision by the Office of Management and Budget (OMB) of a previous apportionment of budgetary resources for an appropriation or fund account. A revision would ordinarily cover the same period, projects, or activity covered in the original apportionment."
,Reappropriation,"Statutory authority to restore or extend obligational availability, whether for the same or different purpose, of all or part of the unobligated balance of budget authority that has expired or otherwise would expire in an annual or multiple-year appropriation. Reappropriation transactions require non-expenditure transfer of the funds involved from the expired or otherwise expiring account to the designated current account when the unobligated balance has not been withdrawn to the surplus fund of the U.S. Treasury. If the unobligated balance has been withdrawn, then the transaction requires a warrant. Reappropriations that provide funds to a fiscal year for which they were not previously available constitute new budget authority in the receiving account."
,Reasonable Cost,"Cost which, in its nature and amount, does not exceed that which would be incurred by a prudent person in the conduct of a competitive business. In determining reasonableness of a specific cost, the Contracting Officer (CO) shall consider: Whether it is the type of cost generally recognized as ordinary and necessary for the conduct of a contractor's business or the contract performance; Generally accepted sound business practices, arm's length bargaining, and federal and state laws and regulations; The contractor's responsibilities to the government, other customers, the owners of the business, employees, and public at large; and Any significant deviation from the contractor's established practices."
,Reasonable Price,"A business decision reached jointly by a buyer and seller, a product of judgment influenced by bargaining strength and economic realities dictated by the marketplace."
,Reclama,A formal appeal to the Service comptroller or the Secretary of Defense's (SECDEF's) tentative budget decision on the Service budget estimates.
,Reconciliation,Directives to standing committees contained in congressional budget resolutions calling for certain dollar savings and a deadline for reporting legislation to achieve the savings. Omnibus reconciliation bill incorporating these changes is introduced and acted on in both Houses.
,Reconstitution,"Reconstitution Involves forming, training, and fielding new fighting units. This includes initially drawing on cadre-type units and laid-up military assets; mobilizing previously trained or new manpower; and activating the industrial base (IB) on a large scale. Reconstitution also involves maintaining technology, doctrine, training, experienced military personnel, and innovation necessary to retain the competitive edge in decisive areas of potential military competition."
,Recurring Cost,"Costs for items and services that reoccur, especially at regular intervals. Recurring costs are incurred each time a unit of equipment is produced, such as direct labor and direct materials."
,Recurring Effort,An effort repeated during a contract's duration.
,Red Team,An ad-hoc organizational element that provides an independent capability to fully explore alternatives in plans and operations in the context of the operational environment and from the perspective of adversaries and others.
,Redundancy,Repetition of parts or subsystems to assure operation if original (primary) part or subsystem fails.
,Reimbursable Order,"An order for services, supplies, material, or equipment placed by a requiring DoD Component (or Federal Agency) and furnished by another DoD Component (or Federal Agency) without separate identification of the items, or separate citation of the funds of the requiring DoD Component, and with subsequent delivery to, and reimbursement by, the requiring DoD Component. The requiring DoD Component makes a record of the reimbursable order as an obligation when the procuring DoD Component accepts the reimbursable order in writing."
,Reimbursements,"Amounts earned and collected for property sold or services furnished either to the public or another Federal accounting entity. To be an appropriation reimbursement, the collection must be authorized by law for credit to the specific appropriation or fund account."
,Relative Range,Is defined by the range between the independent variables (x) with the smallest and largest values from our data set. Use as part of Parametric.
,Release,"A grouping of capabilities or features that can be used for demonstration or evaluation. A release may be internal for integration, testing, or demonstration; or external to system test or as user delivery. A release may be based on a time block or on product maturity."
,Relevant Environment,Testing environment that simulates key aspects of the operational environment.
,Reliability,"Reliability is a measure of the probability that the system will perform without failure over a specific interval, under specified conditions. Measures include mission and logistics reliability. Mission Reliability is the ability of an item to perform its required function for the duration of a specified mission profile, defined as the probability that the system will not fail to complete the mission, considering all possible redundant modes of operation. Logistics reliability is measure of the ability of an item to operate without placing a demand on the logistics support structure for repair or adjustment, including all failures to the system and maintenance demand as a result of system operations."
,Reliability and Maintainability Accounting,"That set of mathematical tasks that establish and allocate quantitative R&M requirements, and predict and measure quantitative R&M achievements."
,Reliability and Maintainability Engineering,"That set of design, development, and manufacturing tasks by which R&M are achieved."
 RBL,Reliability Based Logistics,"Emphasizes the importance of designing reliability into systems and is an expansion of the process used to determine the support concept for a system, subsystem, and/or component. RBL addresses decisions such as consumable versus repairable, commercial versus organic repair, warranties, technology insertion, and Form-Fit-Function Interface (F3I) specifications as methods for facilitating reliable designs."
 RCM,Reliability Centered Maintenance,"A logical, structured process used to determine the optimal failure management strategies for any system based upon system reliability characteristics and the intended operating context. RCM defines what must be done for a system to achieve the desired levels of safety, operational readiness, and environmental soundness at best cost. RCM is a continuous process that requires sustainment throughout the life cycle of a system, utilizes data from the results achieved, and feeds this data back to improve design and future maintenance."
,Reliability Growth (RG),"The positive improvement in a reliability parameter over a period of time due to implementation of corrective actions to system design, operation or maintenance procedures, or the associated manufacturing process."
,Reliability Key System Attribute,"One of the mandatory KSAs that supports the Sustainment Key Performance Parameter (KPP). It is a measure of the probability that the system will perform without failure over a specified interval, under specified conditions. Reliability must be sufficient to support the warfighting capability requirements within expected operating environments. Considerations of reliability must support both availability metrics, that is, Materiel Availability and Operational Availability. More than one reliability metric may be specified as Key System Attributes (KSAs) or Additional Performance Attributes (APAs), as appropriate. For continuous use systems, such as aircraft, reliability should be measured in terms of its primary usage metric (e.g., operating hours, miles or flight hours). For discrete systems, such as a single use munition, reliability should be measured as a probability. (JCIDS Manual) See “Reliability” for a more general definition."
,"Reliability, Availability, and Maintainability","Requirement imposed on acquisition systems to ensure they are operationally ready for use when needed, will successfully perform assigned functions, and can be economically operated and maintained within the scope of logistics concepts and policies. RAM programs are applicable to materiel systems; test measurement and diagnostic equipment, training devices; and facilities developed, produced, maintained, procured, or modified for use."
 RAM-C,"Reliability, Availability, and Maintainability Cost Rationale Report","For MDAPs, the Program Manager will prepare a preliminary Reliability, Availability, Maintainability and Cost (RAM-C) Rationale Report in support of the Milestone A decision. This report provides a quantitative basis for reliability requirements, and improves cost estimates and program planning. This report will be attached to the Systems Engineering Plan (SEP) at Milestone A, and updated in support of the Development Request for Proposal (RFP) Release Decision Point, Milestone B, and Milestone C. The RAM-C report will also document the quantitative basis for the three elements of the Sustainment Key Performance Parameter (KPP) as well as the tradeoffs made with respect to system performance."
,Repair,"The restoration or replacement of parts or components of real property or equipment as necessitated by wear and tear, damage, failure of parts or the like in order to maintain it in efficient operating condition."
,Repair Parts,"Consumable bits and pieces; that is, individual parts or non-repairable assemblies required for the repair of spare parts or major end items."
,Repairable Item,"An item of a durable nature that has been determined by the application of engineering, economic, and other factors to be the type of item feasible for restoration to a serviceable condition through regular repair procedures."
 RSSP,Replaced System Sustainment Plan,A component approved plan applicable to Major Defense Acquisition Programs (MDAPs) that provides information on the sustainment of an existing system that the system under development is intended to replace. Submitted as an attachment to the Life Cycle Sustainment Plan (LCSP). The plan identifies the budgeting required to sustain the existing system until the system being developed under the MDAP is fielded and assumes the majority of the responsibility for the mission of the existing system.
,Replenishment,"The purchase of additional items following initial purchase, whether bought for support of additional end items, routine restockage, or other purposes."
,Replenishment Spare Parts,"Items and equipment, both repairable and consumable, purchased by inventory control points, required to replenish stocks for use in the maintenance, overhaul, and repair of equipment such as ships, tanks, guns, aircraft, engines, etc."
,Reprogramming,"Realignment of budget authority (BA) from the purpose for which appropriated to finance another (usually emergent, unfunded) requirement. A necessary, desirable, and timely device during execution of defense programs for achieving flexibility in the use of DoD funds provided in appropriation acts. Reprogramming is generally accomplished pursuant to consultation with, and approval by, appropriate congressional committees."
 RFI,Request for Information,"An information exchange technique used when the government does not presently intend to award a contract, but wants to obtain price, delivery, other market information, or capabilities for planning purposes, especially to prepare for releasing a Request for Proposal (RFP) at some future date. Responses to these notices are not offers and cannot be accepted by the government to form a binding contract."
 RFP,Request for Proposal,A document used in negotiated acquisitions to communicate Government requirements to prospective contractors and to solicit proposals. RFPs for competitive acquisitions describe the Government's requirement; anticipated terms and conditions that will apply to the contract; information required to be in the offeror's proposal; and factors and significant sub-factors that will be used to evaluate the proposal and their relative importance.
 RFQ,Request for Quotation,"A solicitation used in negotiated acquisition to communicate government requirements to prospective contractors and to solicit a quotation. A response to an RFQ is not an offer; however, it is informational in character."
 RTP,Request for Technical Proposal,"Solicitation document used in two-step sealed bid. Normally in letter form, it asks only for technical information—price and cost breakdowns are forbidden."
,Requirements,"1.) The need or demand for personnel, equipment, facilities, other resources, or services, by specified quantities for specific periods of time or at a specified time. 2.) For use in budgeting, item requirements should be screened as to individual priority and approved in the light of total available budget resources."
,Requirements Analysis,"Systems Engineering (SE) technical process that results in the decomposition of end-user needs (usually identified in operational terms at the system level during implementation of the Stakeholder Requirements Definition process). As the system design evolves, Requirements Analysis activities support allocation and derivation of requirements down to the system elements representing the lowest level of the design. The allocated requirements form the basis of contracting language and the system performance specification. The resultant system requirements are addressed at technical reviews and audits throughout the acquisition life cycle and captured in applicable program and SE technical documentation."
,Requirements Contracts,"A requirements contract provides for filling all actual purchase requirements of designated Government activities for supplies or services during a specified contract period (from one contractor), with deliveries or performance to be scheduled by placing orders with the contractor."
,Requirements Creep,The tendency of the user (or developer) to add to the original mission responsibilities and/or performance requirements for a system while it is still in development.
